admin2_name,admin1_name,admin2_pcode,worldpop_raster_nodata,worldpop_raw_sum,worldpop_clean_sum,worldpop_negative_cell_count,worldpop_valid_cell_count
Msambweni,Kwale,KE002007,-99999.0,201978.53186131103,201978.53186131103,0,31281
Mt. Elgon,Bungoma,KE039216,-99999.0,260043.54358349787,260043.54358349787,0,43248
Muhoroni,Kisumu,KE042243,-99999.0,166117.15367451697,166117.15367451697,0,52119
Mukurweni,Nyeri,KE019098,-99999.0,94405.68316731346,94405.68316731346,0,20602
Mumias East,Kakamega,KE037205,-99999.0,143415.05533643754,143415.05533643754,0,17587
Mumias West,Kakamega,KE037204,-99999.0,115033.07534133752,115033.07534133752,0,15690
Mvita,Mombasa,KE001006,-99999.0,164346.34088861477,164346.34088861477,0,1580
Mwala,Machakos,KE016082,-99999.0,201834.63747154776,201834.63747154776,0,111838
Mwatate,Taita Taveta,KE006025,-99999.0,105027.48036286165,105027.48036286165,0,54024
Mwea,Kirinyaga,KE020100,-99999.0,222404.13144107937,222404.13144107937,0,39710
Mwingi East,Kitui,KE015069,-99999.0,142306.1298041138,142306.1298041138,0,167295
Mwingi North,Kitui,KE015067,-99999.0,187954.48175448546,187954.48175448546,0,219604
Mwingi West,Kitui,KE015068,-99999.0,163120.41133959626,163120.41133959626,0,111586
Naivasha,Nakuru,KE032168,-99999.0,427984.56188154884,427984.56188154884,0,83818
Nakuru Town East,Nakuru,KE032176,-99999.0,217127.05639897555,217127.05639897555,0,7486
Nakuru Town West,Nakuru,KE032175,-99999.0,264523.7844662779,264523.7844662779,0,7012
